altitude,temperature,precipitation,longitude,sunshine
734.0,6.8,1068.5,9.87,1765.6
350.0,8.3,783.5,12.55,1621.2
837.0,7.4,1570.4,11.75,1493.6
46.0,8.1,544.0,12.62,1607.2
870.0,5.7,1246.5,8.18,1656.6
846.0,5.6,1328.7,8.13,1435.2
781.0,6.2,1936.4,8.0,1420.0
640.0,7.2,1468.5,11.53,1693.3
700.0,7.1,1557.1,8.23,1303.0
571.0,7.9,748.3,9.95,1698.9
471.0,8.0,938.8,9.4,1611.5
291.0,8.2,766.1,11.07,1561.2
240.0,8.2,509.7,11.4,1600.8
380.0,8.1,784.8,8.35,1512.6
940.0,5.6,1308.6,13.45,1508.9
70.0,8.1,574.4,12.67,1607.9
921.0,4.8,1083.8,9.93,1552.2
438.0,7.4,684.5,12.18,1574.4
470.0,7.5,787.7,11.68,1679.5
553.0,7.8,585.4,8.12,1602.8
422.0,8.1,665.0,10.95,1679.5
1832.0,2.1,1713.8,12.0,1675.6
3.0,8.3,571.2,11.05,1740.7
740.0,7.2,1385.3,8.53,1701.8
580.0,6.4,1225.7,8.6,1365.8
681.0,5.9,1360.2,8.52,1341.3
464.0,7.5,800.5,10.22,1611.5
877.0,4.3,976.7,13.75,1411.4
2960.0,-4.8,2003.1,10.98,1846.3
615.0,6.2,1026.6,13.2,1623.4
