gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
0,1,1,0,0,50,67,63
1,3,0,1,0,60,59,54
0,2,0,1,1,59,54,67
1,0,2,1,0,53,43,43
0,0,2,0,0,49,65,55
0,2,1,1,0,54,59,62
0,2,0,1,0,63,73,68
1,1,3,1,1,65,65,63
0,3,1,0,1,52,57,56
1,1,0,1,1,63,67,67
0,2,4,0,1,51,72,79
1,4,1,0,1,57,56,54
0,3,1,1,1,57,58,64
0,3,5,0,1,47,58,67
0,0,0,1,1,59,85,80
1,1,2,0,0,41,39,34
0,2,2,0,0,62,67,62
1,0,0,0,0,65,59,53
1,2,3,0,0,64,66,59
0,2,1,1,0,61,72,70
1,2,1,1,0,61,56,55
0,0,0,0,0,47,59,50
1,2,2,0,1,50,48,53
0,0,0,0,0,59,73,69
1,1,1,1,0,47,46,42
0,2,2,0,1,64,85,85
0,2,3,0,0,65,77,74
1,2,2,0,0,65,58,49
0,2,3,0,0,53,61,62
1,2,4,0,0,37,56,47
1,3,3,0,0,53,54,48
1,2,4,0,0,53,58,55
1,1,2,0,0,54,54,45
0,3,3,0,0,26,31,38
0,2,1,1,0,63,69,74
0,3,0,1,0,59,67,61
0,3,5,1,0,55,64,70
0,3,3,0,0,52,59,56
1,0,1,1,0,59,52,46
0,1,3,1,0,49,52,54
1,3,2,0,0,61,47,56
0,2,3,0,0,60,75,74
1,1,0,1,1,64,53,57
0,0,3,0,0,65,85,76
0,2,3,1,0,64,64,70
0,1,1,1,0,54,64,68
0,2,2,1,0,54,48,52
0,3,2,0,1,59,78,76
0,1,0,1,0,66,69,68
1,2,2,0,0,63,61,54
0,3,5,0,0,40,59,54
1,1,4,0,0,55,59,54
1,0,0,1,0,64,50,43
1,3,0,0,0,62,49,52
0,1,0,1,1,54,61,62
0,4,2,1,1,66,74,73
0,3,0,1,1,66,78,78
1,2,5,0,0,54,59,50
1,2,1,1,1,53,52,49
1,2,0,0,1,56,61,60
0,2,1,0,0,36,53,43
0,3,4,0,0,29,41,47
0,2,3,1,0,62,74,70
0,2,0,1,0,47,54,53
1,4,3,1,1,62,61,58
0,2,4,0,1,66,83,83
1,2,3,1,1,51,60,58
0,3,1,1,0,51,66,62
0,3,5,1,0,64,63,66
0,2,1,0,0,62,67,64
0,1,3,1,0,40,48,50
1,4,3,1,0,53,45,40
0,2,2,0,0,32,39,33
0,2,3,1,1,55,72,79
1,2,5,0,0,61,67,66
0,1,3,0,0,53,70,70
0,2,2,1,0,63,74,74
0,3,2,0,1,63,80,80
1,1,4,0,0,48,51,46
1,1,3,1,0,48,43,45
0,3,5,0,1,61,71,78
1,1,1,0,0,63,48,47
0,2,2,1,0,53,62,56
0,2,1,0,1,50,66,64
1,0,3,0,1,40,55,53
1,0,2,1,1,61,51,52
0,1,2,0,1,48,56,58
0,3,5,1,0,53,61,68
0,3,4,0,0,63,73,78
0,2,3,1,0,65,76,76
0,0,1,1,0,55,73,73
0,2,4,0,0,44,63,62
0,2,2,1,0,54,64,65
0,0,0,1,0,48,66,65
1,2,2,0,0,58,57,54
0,2,4,1,1,56,79,72
1,1,1,0,0,30,24,15
1,0,0,1,0,53,54,48
0,3,0,1,0,65,82,81
0,3,5,1,0,54,60,63
0,2,1,1,0,29,29,30
1,3,1,0,0,60,57,51
0,2,5,0,0,40,58,54
0,4,2,1,0,61,64,62
0,1,3,1,0,58,63,65
0,2,2,1,0,58,59,66
0,2,3,1,0,65,77,74
0,2,1,1,0,60,68,72
0,4,4,1,0,37,45,38
1,2,3,0,1,65,73,68
0,2,1,0,0,35,61,54
1,1,4,0,0,62,63,56
1,2,1,0,1,58,51,52
0,4,4,0,0,61,58,62
1,3,3,1,0,61,48,46
1,3,2,0,0,49,57,46
0,2,0,1,1,44,51,55
0,1,4,1,1,66,74,81
1,3,1,1,0,41,52,51
0,1,4,1,1,65,81,81
0,3,3,1,0,59,70,65
0,4,1,0,0,64,62,68
0,1,1,1,0,50,53,55
1,2,0,0,1,51,56,53
0,0,3,1,1,65,70,74
0,1,2,1,0,62,67,67
0,3,3,0,0,43,60,58
0,3,2,0,0,55,71,69
0,2,1,1,0,65,69,67
0,2,0,0,1,50,60,60
0,2,2,0,1,63,73,71
0,2,1,0,0,66,76,68
1,3,3,0,0,52,57,50
0,2,3,1,1,65,84,84
0,1,2,1,1,50,64,66
1,3,2,0,0,63,61,60
1,1,1,1,0,60,68,60
1,1,1,1,0,62,55,54
0,2,0,0,1,29,40,44
1,1,2,1,1,62,66,68
1,0,1,0,0,53,58,44
0,2,3,1,0,49,53,53
0,2,4,0,1,66,74,81
0,2,0,1,0,49,63,56
0,0,4,1,0,59,72,70
0,3,3,1,1,57,78,79
1,2,1,0,0,66,66,59
0,1,0,1,0,57,67,72
0,3,2,1,0,63,64,67
0,1,0,0,1,59,63,64
1,0,4,0,0,62,72,65
1,3,1,1,0,46,34,36
1,2,2,1,0,66,59,52
0,3,3,0,1,42,61,58
0,1,0,1,1,60,70,74
0,2,2,0,0,62,72,70
1,3,0,0,1,55,59,59
1,2,1,1,0,50,48,42
1,1,2,1,0,47,43,41
0,4,3,1,1,65,75,77
1,2,2,1,0,53,39,37
1,0,0,0,0,55,46,43
1,3,0,1,0,55,47,44
0,4,2,0,0,53,58,57
0,1,2,0,1,53,66,73
1,2,1,0,0,61,60,55
0,0,3,0,0,37,57,56
0,2,3,1,1,59,73,72
1,1,2,0,0,55,55,47
0,2,4,0,0,50,60,59
1,2,3,0,0,58,55,53
1,3,2,1,0,55,58,52
0,3,2,0,1,52,59,65
0,2,1,0,0,53,72,64
0,3,0,1,0,48,58,54
0,1,1,1,0,62,62,63
1,3,2,1,0,60,63,59
0,2,1,1,1,58,75,77
1,0,2,0,0,58,60,57
1,1,1,1,0,52,48,49
0,1,0,0,1,52,67,72
0,2,4,0,0,62,78,79
1,1,2,1,0,66,65,60
0,1,0,0,0,49,58,55
0,1,1,1,0,66,72,70
0,2,2,0,0,35,44,43
0,3,3,0,0,46,56,57
0,2,3,1,1,52,59,62
0,1,0,1,1,32,51,44
0,1,2,1,0,19,38,32
0,2,5,0,0,52,65,61
0,1,1,1,0,48,62,60
0,3,2,0,0,60,66,70
1,3,1,0,0,66,74,69
0,1,1,1,0,42,52,51
0,4,3,0,1,57,68,73
0,2,3,1,0,52,55,57
0,3,2,0,0,64,74,75
0,4,1,0,0,41,45,40
1,1,4,1,0,59,54,51
1,0,0,1,0,51,31,36
1,0,1,0,0,45,47,49
0,2,5,1,1,54,64,67
0,0,4,1,0,45,59,64
1,3,4,0,1,61,70,76
0,1,1,0,0,60,72,68
1,4,2,0,1,49,52,51
0,2,0,0,0,48,58,52
1,2,1,1,0,62,67,58
0,2,3,0,1,56,68,70
0,2,0,1,0,65,69,76
0,0,2,0,0,61,60,57
1,0,4,1,0,64,60,58
1,1,2,1,0,58,50,45
0,2,1,1,1,60,64,74
1,1,3,0,1,58,57,53
0,2,3,1,0,66,77,73
0,3,1,0,0,39,52,46
1,2,0,1,0,64,58,51
0,1,1,0,1,23,44,36
0,3,0,0,1,40,65,64
1,3,1,1,0,64,54,50
0,2,1,1,0,59,72,68
0,0,1,1,0,61,68,63
1,2,0,1,0,62,64,55
0,2,4,1,0,65,79,81
1,1,1,1,1,52,49,46
0,2,3,1,0,53,62,53
1,3,4,0,1,39,42,38
1,2,1,0,0,59,53,52
1,1,3,1,0,61,42,41
1,2,3,0,0,49,51,51
1,1,1,1,0,59,58,47
0,2,4,0,0,43,62,61
1,2,0,1,0,57,61,54
0,3,0,1,0,59,72,80
0,3,3,1,0,64,76,74
1,2,4,1,1,63,64,66
0,1,1,0,0,64,73,71
1,3,4,0,0,55,46,44
0,4,3,1,0,51,51,54
0,2,3,1,1,62,76,80
1,2,1,0,0,54,72,59
1,3,1,0,0,44,51,48
0,0,5,0,0,50,67,73
0,4,3,1,0,59,62,69
0,4,0,0,0,32,34,38
1,1,1,0,0,36,29,27
0,1,0,0,1,63,78,79
0,3,0,1,1,65,78,82
0,0,1,0,1,34,48,41
1,1,1,1,0,57,48,51
1,3,4,0,0,50,42,48
0,2,4,1,1,52,61,66
0,2,4,0,1,47,62,66
0,1,3,0,0,46,61,55
0,2,1,1,0,44,61,52
0,2,3,1,1,57,77,80
0,2,1,0,0,35,53,46
0,1,3,0,0,54,65,65
1,4,3,0,0,64,56,52
0,3,1,0,1,65,61,71
1,4,3,0,1,46,43,44
0,2,0,0,0,48,56,51
1,3,2,0,0,62,57,62
1,3,3,0,1,61,71,73
0,4,1,0,0,57,58,57
1,0,0,0,1,61,62,61
0,1,1,1,0,58,68,61
0,2,3,1,0,54,61,58
0,3,2,0,0,49,58,60
1,1,0,0,1,49,50,52
0,4,1,0,1,57,75,73
1,2,1,1,1,58,52,54
0,2,2,1,0,62,69,69
0,3,1,1,0,45,63,59
0,0,2,1,0,56,58,64
0,3,0,0,0,48,54,53
0,2,0,0,1,65,76,75
0,3,2,1,0,62,70,72
1,0,0,1,1,66,68,64
1,2,2,1,0,63,63,60
0,0,1,0,1,53,50,60
0,3,2,0,0,49,65,61
0,0,2,1,0,54,63,67
0,2,2,1,1,64,82,77
1,1,2,0,1,60,62,60
1,2,3,1,0,62,65,58
1,3,1,1,1,55,41,48
0,1,1,0,0,8,24,23
1,0,1,1,0,57,51,54
0,2,3,1,0,40,59,51
0,0,0,0,0,44,45,45
0,1,0,1,1,65,82,78
0,3,3,0,0,55,76,76
0,3,4,0,0,62,72,74
1,0,1,1,0,63,63,62
1,2,1,0,0,62,55,55
0,2,1,0,1,59,71,65
