Date,Year,Month,Day,DayOfWeek,BitcoinPrice,GoldPrice,△BitcoinPrice/△Date,△GoldPrice/△Date
2019-02-11,2019,2,11,Monday,9252.99,1306.4,-384.72666666666674,-2.816666666666606
2019-03-05,2019,3,5,Tuesday,5390.16,1283.8,507.27999999999975,-1.6000000000001364
2019-03-07,2019,3,7,Thursday,10805.4,1285.3,2066.369999999999,-0.5499999999999545
2019-03-08,2019,3,8,Friday,10529.55,1296.75,-275.8500000000004,11.450000000000044
2019-03-11,2019,3,11,Monday,9301.18,1292.75,-409.4566666666663,-1.3333333333333333
2019-04-02,2019,4,2,Tuesday,3456.02,1290.3,-366.606667,-3.200000000000045
2019-04-03,2019,4,3,Wednesday,3814.58,1290.45,358.55999999999995,0.1500000000000909
2019-04-04,2019,4,4,Thursday,4959.81,1283.15,1145.2300000000005,-7.299999999999954
2019-04-05,2019,4,5,Friday,5657.14,1288.45,697.3299999999999,5.2999999999999545
2019-04-08,2019,4,8,Monday,10814.57,1300.0,1719.1433333333332,3.849999999999985
2019-04-09,2019,4,9,Tuesday,10621.29,1303.0,-193.27999999999884,3.0
2019-04-11,2019,4,11,Thursday,9206.16,1298.8,969.9899999999998,-6.650000000000091
2019-05-03,2019,5,3,Friday,3730.98,1278.55,278.6300000000001,7.599999999999909
2019-05-07,2019,5,7,Tuesday,11160.49,1281.2,1857.3775,0.6625000000000227
2019-05-08,2019,5,8,Wednesday,10980.23,1285.2,-180.26000000000025,4.0
2019-05-09,2019,5,9,Thursday,10584.16,1286.1,-396.0699999999997,0.8999999999998636
2019-06-03,2019,6,3,Monday,3872.25,1317.1,-178.46791666666664,1.25
2019-06-04,2019,6,4,Tuesday,5028.77,1324.25,1156.5200000000004,7.150000000000091
2019-06-05,2019,6,5,Wednesday,5717.66,1335.05,688.8899999999994,10.799999999999956
2019-06-06,2019,6,6,Thursday,7786.04,1335.5,2068.38,0.4500000000000455
2019-06-10,2019,6,10,Monday,8147.69,1328.6,-935.8233333333334,-4.016666666666727
2019-06-11,2019,6,11,Tuesday,9310.19,1324.3,1162.500000000001,-4.2999999999999545
2020-02-03,2020,2,3,Monday,8912.82,1574.75,-77.71250000000002,0.8812500000000038
2020-02-06,2020,2,6,Thursday,10204.23,1563.3,1379.5699999999997,10.0
2020-02-07,2020,2,7,Friday,9236.38,1572.65,-967.8500000000004,9.350000000000136
2020-02-10,2020,2,10,Monday,10619.24,1573.2,460.9533333333336,0.1833333333333181
2020-03-02,2020,3,2,Monday,9314.56,1599.65,-498.84,1.8921052631578967
2020-03-09,2020,3,9,Monday,11397.44,1672.5,623.9566666666669,-3.716666666666697
2020-04-03,2020,4,3,Friday,8754.34,1613.1,-407.7999999999993,-3.7000000000000455
2020-04-06,2020,4,6,Monday,9658.04,1648.3,301.2333333333336,11.733333333333348
2020-04-07,2020,4,7,Tuesday,9072.42,1649.25,-585.6200000000008,0.9500000000000456
2020-04-08,2020,4,8,Wednesday,11242.57,1647.8,2170.15,-1.4500000000000457
2020-05-04,2020,5,4,Monday,6871.69,1709.1,-158.73333333333358,7.616666666666636
2020-05-06,2020,5,6,Wednesday,9794.56,1691.5,908.6299999999992,-8.049999999999955
2020-05-07,2020,5,7,Thursday,9131.31,1704.05,-663.25,12.549999999999956
2020-05-11,2020,5,11,Monday,14155.59,1702.75,1256.0700000000002,-0.3249999999999886
2020-06-08,2020,6,8,Monday,11750.28,1690.35,906.4400000000004,2.2999999999999545
