gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
0,1,4,1,0,61,72,70
0,3,2,1,0,80,90,89
1,1,0,1,1,85,84,78
0,3,0,1,0,73,84,85
1,4,2,1,0,84,77,71
0,2,2,0,1,45,73,70
1,3,0,1,0,74,74,72
0,3,2,1,1,82,97,96
0,3,4,1,0,59,70,73
0,3,0,1,0,80,90,82
0,3,5,0,1,85,95,100
0,0,0,1,0,71,83,77
0,1,3,1,0,80,86,83
1,2,3,1,1,87,100,95
1,2,5,0,0,79,81,71
0,4,2,1,0,67,76,75
0,4,4,1,0,64,73,70
0,2,3,0,0,57,78,67
1,3,5,1,0,73,70,75
0,2,0,1,1,65,74,77
0,2,3,1,0,85,89,95
0,3,1,1,1,88,99,100
0,2,0,1,0,63,73,68
0,1,3,1,0,82,80,77
1,3,3,1,1,87,84,85
0,3,5,1,1,70,71,74
1,4,2,1,1,84,83,78
0,2,4,0,1,51,72,79
1,4,1,1,0,84,73,69
1,2,4,1,1,71,74,68
1,2,3,1,0,74,73,67
0,2,3,0,1,82,93,93
0,0,0,1,1,59,85,80
1,2,4,1,0,86,83,86
1,2,0,0,0,69,71,65
0,2,1,1,0,61,72,70
1,3,0,1,1,89,88,82
0,2,2,1,1,67,81,79
0,3,1,1,0,78,81,80
0,0,0,0,0,59,73,69
0,1,3,1,0,73,83,76
1,0,0,0,0,79,82,73
0,2,0,1,1,67,74,77
1,2,1,1,1,86,81,80
1,1,3,1,0,81,73,72
0,2,2,0,1,64,85,85
0,4,2,1,0,100,92,97
0,2,3,0,0,65,77,74
0,3,4,1,0,79,89,89
0,4,4,1,0,100,100,100
0,4,2,1,0,71,70,76
0,2,2,0,0,77,90,91
0,2,2,1,0,84,87,91
0,0,1,0,1,77,88,85
1,2,2,1,0,91,74,76
0,2,3,1,1,83,85,90
0,2,3,1,1,68,86,84
0,1,3,1,1,90,90,91
0,3,4,1,1,71,76,83
1,4,3,1,0,76,71,67
1,1,1,1,1,73,71,68
1,2,1,1,0,70,74,71
0,2,3,0,0,60,75,74
1,0,3,0,1,79,82,82
0,0,3,0,0,65,85,76
0,2,2,1,0,83,83,90
0,2,4,1,0,81,88,90
0,3,2,0,1,59,78,76
1,4,2,1,0,76,71,72
0,3,5,1,0,74,79,82
0,1,3,1,1,94,87,92
0,4,3,1,1,95,89,92
0,1,0,1,0,82,82,80
1,0,1,1,0,68,70,66
1,2,5,1,0,79,78,77
0,2,4,1,0,86,92,87
1,3,2,1,0,76,71,73
0,1,5,0,1,77,97,94
0,2,0,1,1,76,87,85
0,3,2,1,0,74,89,84
0,4,2,1,1,66,74,73
0,3,0,1,1,66,78,78
0,1,1,0,1,67,78,79
0,2,3,1,0,91,86,84
0,2,3,1,0,62,74,70
0,4,3,1,1,79,88,94
0,2,4,0,1,66,83,83
1,0,3,1,1,97,92,86
1,3,3,0,1,79,82,80
0,2,3,1,0,81,77,79
0,3,3,1,0,82,95,89
1,4,0,0,1,78,83,80
0,0,0,1,1,92,100,97
1,2,5,1,0,79,72,69
1,2,0,0,0,79,76,65
1,1,4,0,1,87,90,88
0,2,3,1,1,55,72,79
0,1,3,0,0,53,70,70
0,3,2,1,1,74,75,79
0,2,2,1,0,63,74,74
1,2,4,1,1,96,90,92
0,3,2,0,1,63,80,80
0,4,4,0,1,92,100,100
0,3,5,0,1,61,71,78
1,1,2,1,1,71,75,70
1,0,4,1,0,91,96,92
0,4,1,1,0,74,81,71
0,1,1,1,0,81,91,89
0,3,0,1,0,81,97,96
0,4,0,1,0,77,79,80
0,3,4,0,0,63,73,78
0,3,3,1,1,73,75,80
0,3,2,1,0,69,77,77
0,2,3,1,0,65,76,76
0,0,1,1,0,55,73,73
0,4,1,1,0,74,76,73
0,2,4,1,1,92,100,99
0,2,4,1,1,56,79,72
0,3,1,1,0,69,77,73
0,3,0,1,0,65,82,81
0,4,2,1,0,76,78,80
1,3,5,0,1,84,89,90
1,2,0,1,0,75,72,62
0,2,3,1,0,85,84,82
1,2,4,1,1,94,90,91
0,2,3,1,0,65,77,74
0,0,3,1,0,82,93,93
1,3,4,1,0,88,78,83
1,3,5,1,0,95,81,84
1,2,3,0,1,65,73,68
1,0,2,1,1,100,96,86
1,3,2,1,1,100,97,99
1,1,3,0,1,69,70,63
0,1,4,1,1,66,74,81
0,2,1,1,0,75,88,85
1,3,0,1,0,84,84,80
1,0,1,1,0,71,74,64
0,1,1,0,1,67,80,81
0,3,0,1,1,80,92,88
1,4,2,1,0,86,76,74
0,3,3,1,0,76,74,73
0,3,3,0,1,74,88,90
0,1,0,0,0,72,81,79
0,4,1,1,1,74,79,80
0,1,4,1,1,65,81,81
0,3,3,1,0,59,70,65
0,3,2,1,1,69,79,81
0,0,1,1,1,68,80,76
0,3,2,1,1,85,86,98
0,0,3,1,1,65,70,74
0,1,0,1,0,73,79,79
1,3,3,1,0,90,87,85
1,2,2,0,0,74,77,73
0,3,2,0,0,55,71,69
0,2,2,0,1,63,73,71
0,1,4,0,0,77,85,87
1,2,2,1,0,73,74,61
1,3,3,1,1,81,72,77
0,2,1,0,0,66,76,68
0,2,2,1,0,69,78,76
0,2,3,1,1,65,84,84
0,3,1,1,1,69,77,78
0,4,2,1,1,73,78,76
0,2,0,1,1,70,82,76
1,3,3,0,0,81,75,78
0,3,1,1,0,67,72,74
0,4,5,1,1,94,99,100
1,4,2,1,1,85,75,68
1,3,3,0,0,77,78,73
1,4,2,0,0,93,90,83
0,4,3,0,0,73,76,78
0,2,4,0,1,66,74,81
0,3,3,1,0,77,77,73
0,3,2,0,0,79,89,86
0,2,3,1,1,75,82,90
0,0,4,1,0,59,72,70
0,3,3,1,1,57,78,79
0,4,4,1,1,79,81,82
1,0,4,1,1,87,84,87
1,0,4,0,0,62,72,65
1,3,1,1,0,89,87,79
1,2,2,1,1,93,84,90
0,4,0,1,1,80,85,85
0,3,2,1,0,98,100,99
1,3,5,1,0,81,81,84
0,1,0,1,1,60,70,74
0,1,3,0,1,76,94,87
1,2,3,1,1,73,78,72
0,2,3,1,1,96,96,99
0,2,1,1,0,76,76,74
1,4,3,0,1,91,73,80
0,2,2,0,0,62,72,70
0,1,0,0,1,74,90,88
1,4,2,1,1,81,74,71
0,4,3,1,1,65,75,77
0,3,1,0,0,73,92,84
0,1,3,0,1,68,77,80
0,2,2,1,1,87,89,94
1,2,3,1,0,92,79,84
1,3,3,1,0,81,71,73
1,3,4,1,0,80,73,72
0,2,1,1,0,81,84,82
0,2,3,1,1,59,73,72
1,3,3,1,0,72,79,74
1,3,1,1,0,69,75,71
1,1,2,1,1,87,84,86
1,4,2,1,0,68,72,65
1,2,5,0,1,79,77,75
0,2,0,1,1,77,90,85
0,4,3,1,0,84,95,92
1,1,2,1,1,69,77,77
0,2,1,0,0,53,72,64
1,3,0,1,1,78,81,86
0,1,1,1,0,74,72,72
0,2,1,1,1,58,75,77
0,3,0,1,0,68,71,75
1,3,4,1,0,75,73,74
0,2,4,0,0,62,78,79
0,1,1,1,0,66,72,70
0,0,2,1,1,72,79,82
1,4,3,1,1,94,85,82
0,1,5,1,0,77,90,84
0,1,1,0,1,76,85,82
1,2,4,1,1,91,81,79
0,4,0,0,0,72,79,77
1,3,1,0,0,66,74,69
1,4,0,1,1,89,84,77
1,3,1,1,0,70,70,70
0,4,3,0,0,70,84,81
1,2,0,1,1,67,73,68
1,2,0,1,1,76,80,73
0,4,3,1,0,87,94,95
0,1,2,1,0,82,85,87
0,2,2,1,0,73,76,78
1,0,2,0,0,75,81,74
0,3,2,0,0,64,74,75
1,2,1,1,0,90,75,69
1,4,0,1,1,87,84,76
0,2,1,1,0,72,80,83
1,1,0,1,1,94,86,87
1,3,4,0,1,61,70,76
0,1,1,0,0,60,72,68
0,2,0,1,0,77,91,88
0,0,0,1,1,85,90,92
0,3,4,0,0,78,90,93
0,1,1,0,0,71,87,82
0,3,0,0,1,69,86,81
0,2,4,0,1,74,86,89
0,1,1,1,1,77,82,89
0,0,1,1,1,75,82,79
0,2,3,1,0,66,77,73
1,1,2,0,1,74,77,76
1,4,5,1,0,90,85,84
1,2,5,1,1,91,85,85
0,2,1,1,0,59,72,68
1,3,3,1,0,80,75,69
0,4,2,1,0,87,85,93
0,1,4,1,0,97,97,96
0,2,4,1,0,65,79,81
1,2,3,0,0,87,73,72
0,4,5,0,0,81,86,87
0,2,2,1,1,71,71,80
1,2,3,1,0,97,93,91
1,3,2,1,1,82,82,88
1,4,3,0,1,78,74,72
0,2,2,1,1,70,72,76
1,1,3,1,1,82,84,78
1,4,3,0,0,90,90,82
1,3,2,1,0,81,82,84
0,3,0,1,0,59,72,80
0,3,3,1,0,64,76,74
0,4,4,1,1,71,70,70
0,1,1,0,0,64,73,71
0,2,3,1,1,62,76,80
0,4,3,1,1,93,100,95
1,2,1,0,0,54,72,59
0,4,2,1,1,86,85,91
0,4,3,1,0,85,92,85
1,3,0,1,1,88,74,75
0,1,0,0,1,63,78,79
0,3,0,1,1,65,78,82
1,3,5,1,0,85,84,89
0,2,5,1,0,73,78,74
0,3,4,0,1,93,100,100
0,3,0,0,0,67,84,84
1,3,2,1,0,88,77,77
0,3,2,1,1,79,84,91
0,2,4,0,0,67,75,72
0,0,2,1,0,69,84,82
0,4,2,1,0,68,70,66
1,4,4,1,1,100,100,100
0,2,3,1,1,57,77,80
1,1,2,1,1,91,96,91
1,3,1,0,0,69,70,67
1,3,1,0,0,74,70,69
1,2,2,0,1,67,74,70
1,3,3,0,1,61,71,73
1,2,4,0,1,70,75,74
1,2,3,1,1,98,87,90
1,3,2,1,1,85,81,85
0,3,5,1,0,78,91,96
1,1,1,1,0,82,82,80
0,4,1,0,1,57,75,73
1,4,1,1,0,94,73,71
0,3,2,1,1,75,77,83
0,4,0,0,0,74,74,72
1,2,2,1,0,84,87,81
0,3,5,1,0,92,100,100
1,2,1,1,0,75,81,71
0,4,3,1,0,100,100,100
0,2,0,0,1,65,76,75
0,3,2,1,0,62,70,72
0,4,3,1,0,68,76,67
0,1,4,1,0,75,84,80
0,3,4,1,0,89,100,100
1,2,0,1,1,78,72,69
0,2,2,1,1,64,82,77
0,2,3,1,0,91,95,94
1,3,0,1,0,81,78,78
1,1,0,1,1,79,85,86
0,0,2,1,1,78,87,91
0,2,0,1,0,74,75,82
1,4,0,1,1,81,75,76
0,3,2,0,1,67,86,83
1,4,1,0,1,86,81,75
0,1,0,1,1,65,82,78
0,3,3,0,0,55,76,76
0,3,4,0,0,62,72,74
0,4,5,1,1,88,99,95
0,2,1,0,1,59,71,65
0,3,2,1,1,68,78,77
0,3,2,0,0,77,86,86
