Rings,Length,Shell weight,Diameter,Height,Whole weight,Shucked weight,Viscera weight
15,0.68,0.46,0.56,0.165,1.639,0.6055,0.2805
18,0.665,0.35,0.525,0.165,1.338,0.5515,0.3575
19,0.68,0.455,0.55,0.175,1.798,0.815,0.3925
13,0.705,0.49,0.55,0.2,1.7095,0.633,0.4115
8,0.465,0.125,0.355,0.105,0.4795,0.227,0.124
16,0.54,0.34,0.475,0.155,1.217,0.5305,0.3075
8,0.45,0.145,0.355,0.105,0.5225,0.237,0.1165
11,0.575,0.26,0.445,0.135,0.883,0.381,0.2035
9,0.355,0.09,0.29,0.09,0.3275,0.134,0.086
9,0.45,0.115,0.335,0.105,0.425,0.1865,0.091
14,0.55,0.27,0.425,0.135,0.8515,0.362,0.196
5,0.24,0.02,0.175,0.045,0.07,0.0315,0.0235
5,0.205,0.012,0.15,0.055,0.042,0.0255,0.015
4,0.21,0.015,0.15,0.05,0.042,0.0175,0.0125
7,0.39,0.075,0.295,0.095,0.203,0.0875,0.045
9,0.47,0.14,0.37,0.12,0.5795,0.293,0.227
7,0.46,0.15,0.375,0.12,0.4605,0.1775,0.11
6,0.325,0.045,0.245,0.07,0.161,0.0755,0.0255
9,0.525,0.245,0.425,0.16,0.8355,0.3545,0.2135
8,0.52,0.19,0.41,0.12,0.595,0.2385,0.111
7,0.4,0.1,0.32,0.095,0.303,0.1335,0.06
10,0.485,0.16,0.36,0.13,0.5415,0.2595,0.096
10,0.47,0.15,0.36,0.12,0.4775,0.2105,0.1055
7,0.405,0.11,0.31,0.1,0.385,0.173,0.0915
8,0.5,0.22,0.4,0.14,0.6615,0.2565,0.1755
8,0.445,0.135,0.35,0.12,0.4425,0.192,0.0955
8,0.47,0.17,0.385,0.135,0.5895,0.2765,0.12
4,0.245,0.025,0.19,0.06,0.086,0.042,0.014
7,0.505,0.175,0.4,0.125,0.583,0.246,0.13
7,0.45,0.135,0.345,0.105,0.4115,0.18,0.1125
9,0.505,0.175,0.405,0.11,0.625,0.305,0.16
10,0.53,0.2,0.41,0.13,0.6965,0.302,0.1935
7,0.425,0.1,0.325,0.095,0.3785,0.1705,0.08
8,0.52,0.185,0.4,0.12,0.58,0.234,0.1315
8,0.475,0.135,0.355,0.12,0.48,0.234,0.1015
12,0.565,0.32,0.44,0.16,0.915,0.354,0.1935
13,0.595,0.485,0.495,0.185,1.285,0.416,0.224
10,0.475,0.17,0.39,0.12,0.5305,0.2135,0.1155
6,0.31,0.045,0.235,0.07,0.151,0.063,0.0405
13,0.555,0.275,0.425,0.13,0.7665,0.264,0.168
8,0.4,0.1,0.32,0.11,0.353,0.1405,0.0985
20,0.595,0.425,0.475,0.17,1.247,0.48,0.225
11,0.57,0.38,0.48,0.175,1.185,0.474,0.261
13,0.605,0.315,0.45,0.195,1.098,0.481,0.2895
15,0.6,0.28,0.475,0.15,1.0075,0.4425,0.221
9,0.595,0.315,0.475,0.14,0.944,0.3625,0.189
10,0.6,0.305,0.47,0.15,0.922,0.363,0.194
11,0.555,0.285,0.425,0.14,0.788,0.282,0.1595
14,0.615,0.345,0.475,0.17,1.1025,0.4695,0.2355
9,0.575,0.285,0.445,0.14,0.941,0.3845,0.252
12,0.62,0.675,0.51,0.175,1.615,0.5105,0.192
16,0.52,0.32,0.425,0.165,0.9885,0.396,0.225
21,0.595,0.58,0.475,0.16,1.3175,0.408,0.234
14,0.58,0.36,0.45,0.14,1.013,0.38,0.216
12,0.57,0.44,0.465,0.18,1.295,0.339,0.2225
13,0.625,0.4,0.465,0.14,1.195,0.4825,0.205
10,0.56,0.26,0.44,0.16,0.8645,0.3305,0.2075
9,0.46,0.165,0.355,0.13,0.517,0.2205,0.114
12,0.575,0.33,0.45,0.16,0.9775,0.3135,0.231
15,0.565,0.255,0.425,0.135,0.8115,0.341,0.1675
12,0.555,0.26,0.44,0.15,0.755,0.307,0.1525
13,0.595,0.39,0.465,0.175,1.115,0.4015,0.254
10,0.625,0.39,0.495,0.165,1.262,0.507,0.318
15,0.695,0.485,0.56,0.19,1.494,0.588,0.3425
14,0.665,0.48,0.535,0.195,1.606,0.5755,0.388
9,0.535,0.25,0.435,0.15,0.725,0.269,0.1385
8,0.47,0.145,0.375,0.13,0.523,0.214,0.132
7,0.47,0.165,0.37,0.13,0.5225,0.201,0.133
10,0.475,0.155,0.375,0.125,0.5785,0.2775,0.085
7,0.36,0.075,0.265,0.095,0.2315,0.105,0.046
15,0.55,0.255,0.435,0.145,0.843,0.328,0.1915
15,0.53,0.335,0.435,0.16,0.883,0.316,0.164
10,0.53,0.205,0.415,0.14,0.724,0.3105,0.1675
12,0.605,0.345,0.47,0.16,1.1735,0.4975,0.2405
12,0.52,0.235,0.41,0.155,0.727,0.291,0.1835
11,0.545,0.28,0.43,0.165,0.802,0.2935,0.183
10,0.5,0.22,0.4,0.125,0.6675,0.261,0.1315
9,0.51,0.2,0.39,0.135,0.6335,0.231,0.179
9,0.435,0.13,0.395,0.105,0.3635,0.136,0.098
9,0.495,0.155,0.395,0.125,0.5415,0.2375,0.1345
9,0.465,0.175,0.36,0.105,0.431,0.172,0.107
9,0.435,0.105,0.32,0.08,0.3325,0.1485,0.0635
9,0.425,0.165,0.35,0.105,0.393,0.13,0.063
11,0.545,0.21,0.41,0.125,0.6935,0.2975,0.146
11,0.53,0.18,0.415,0.115,0.5915,0.233,0.1585
11,0.49,0.22,0.375,0.135,0.6125,0.2555,0.102
10,0.44,0.165,0.34,0.105,0.402,0.1305,0.0955
9,0.56,0.31,0.43,0.15,0.8825,0.3465,0.172
8,0.405,0.085,0.305,0.085,0.2605,0.1145,0.0595
9,0.47,0.14,0.365,0.105,0.4205,0.163,0.1035
7,0.385,0.085,0.295,0.085,0.2535,0.103,0.0575
14,0.515,0.255,0.425,0.14,0.766,0.304,0.1725
6,0.37,0.07,0.265,0.075,0.214,0.09,0.051
6,0.36,0.07,0.28,0.08,0.1755,0.081,0.0505
5,0.27,0.03,0.195,0.06,0.073,0.0285,0.0235
6,0.375,0.07,0.275,0.09,0.238,0.1075,0.0545
8,0.385,0.08,0.29,0.085,0.2505,0.112,0.061
19,0.7,0.54,0.535,0.16,1.7255,0.63,0.2635
18,0.71,0.78,0.54,0.165,1.959,0.7665,0.261
17,0.595,0.41,0.48,0.165,1.262,0.4835,0.283
9,0.44,0.129,0.35,0.125,0.4035,0.175,0.063
7,0.325,0.062,0.26,0.09,0.1915,0.085,0.036
7,0.35,0.068,0.26,0.095,0.211,0.086,0.056
7,0.265,0.028,0.2,0.065,0.0975,0.04,0.0205
8,0.425,0.1355,0.33,0.115,0.406,0.1635,0.081
7,0.305,0.048,0.23,0.08,0.156,0.0675,0.0345
9,0.345,0.063,0.255,0.09,0.2005,0.094,0.0295
9,0.405,0.117,0.325,0.11,0.3555,0.151,0.063
9,0.375,0.0925,0.285,0.095,0.253,0.096,0.0575
10,0.565,0.2475,0.445,0.155,0.826,0.341,0.2055
10,0.55,0.2665,0.45,0.145,0.741,0.295,0.1435
16,0.65,0.4465,0.52,0.19,1.3445,0.519,0.306
11,0.56,0.2425,0.455,0.155,0.797,0.34,0.19
10,0.475,0.17,0.375,0.13,0.5175,0.2075,0.1165
10,0.49,0.174,0.38,0.125,0.549,0.245,0.1075
10,0.46,0.1565,0.35,0.12,0.515,0.224,0.108
9,0.28,0.042,0.205,0.08,0.127,0.052,0.039
5,0.175,0.0125,0.13,0.055,0.0315,0.0105,0.0065
4,0.17,0.01,0.13,0.095,0.03,0.013,0.008
15,0.59,0.325,0.475,0.145,1.053,0.4415,0.262
9,0.605,0.335,0.5,0.185,1.1185,0.469,0.2585
10,0.635,0.45,0.515,0.19,1.3715,0.5065,0.305
10,0.605,0.355,0.485,0.16,1.0565,0.37,0.2355
12,0.565,0.31,0.45,0.135,0.9885,0.387,0.1495
10,0.515,0.21,0.405,0.13,0.722,0.32,0.131
13,0.575,0.34,0.46,0.19,0.994,0.392,0.2425
16,0.645,0.635,0.485,0.215,1.514,0.546,0.2615
13,0.58,0.285,0.455,0.17,0.9075,0.374,0.2135
13,0.575,0.44,0.46,0.165,1.124,0.2985,0.1785
13,0.605,0.34,0.465,0.165,1.056,0.4215,0.2475
13,0.605,0.28,0.485,0.16,1.222,0.53,0.2575
12,0.61,0.345,0.485,0.175,1.2445,0.544,0.297
18,0.725,1.005,0.56,0.21,2.141,0.65,0.398
16,0.65,0.815,0.545,0.23,1.752,0.5605,0.2895
14,0.725,0.725,0.57,0.19,2.55,1.0705,0.483
20,0.725,0.85,0.575,0.175,2.124,0.765,0.4515
20,0.68,0.65,0.57,0.205,1.842,0.625,0.408
14,0.705,0.76,0.56,0.22,1.981,0.8175,0.3085
12,0.68,0.62,0.515,0.175,1.6185,0.5125,0.409
14,0.695,0.59,0.55,0.215,1.9565,0.7125,0.541
7,0.53,0.255,0.395,0.145,0.775,0.308,0.169
8,0.525,0.285,0.435,0.155,1.065,0.486,0.233
8,0.52,0.22,0.405,0.115,0.776,0.32,0.1845
5,0.235,0.015,0.16,0.04,0.048,0.0185,0.018
7,0.36,0.075,0.26,0.09,0.1785,0.0645,0.037
5,0.315,0.035,0.21,0.06,0.125,0.06,0.0375
8,0.315,0.05,0.245,0.085,0.1435,0.053,0.0475
4,0.225,0.015,0.16,0.045,0.0465,0.025,0.015
11,0.58,0.35,0.475,0.15,0.97,0.385,0.2165
14,0.57,0.295,0.48,0.18,0.9395,0.399,0.2
21,0.64,0.57,0.51,0.175,1.368,0.515,0.266
10,0.56,0.3,0.45,0.16,1.0235,0.429,0.268
10,0.62,0.325,0.475,0.175,1.0165,0.4355,0.214
12,0.645,0.46,0.51,0.2,1.5675,0.621,0.367
13,0.62,0.355,0.49,0.19,1.218,0.5455,0.2965
12,0.63,0.285,0.48,0.15,1.0525,0.392,0.336
10,0.63,0.38,0.5,0.185,1.383,0.54,0.3315
11,0.63,0.315,0.48,0.16,1.199,0.5265,0.335
9,0.585,0.29,0.46,0.17,0.9325,0.365,0.271
13,0.615,0.325,0.48,0.18,1.1595,0.4845,0.2165
12,0.61,0.36,0.485,0.17,1.0225,0.419,0.2405
14,0.58,0.36,0.45,0.15,0.927,0.276,0.1815
8,0.355,0.15,0.275,0.085,0.22,0.092,0.06
10,0.51,0.195,0.4,0.14,0.8145,0.459,0.1965
12,0.5,0.245,0.405,0.155,0.772,0.346,0.1535
11,0.505,0.21,0.41,0.15,0.644,0.285,0.145
16,0.64,0.465,0.5,0.185,1.3035,0.4445,0.2635
15,0.56,0.26,0.45,0.16,0.922,0.432,0.178
10,0.585,0.285,0.46,0.185,0.922,0.3635,0.213
9,0.45,0.135,0.345,0.12,0.4165,0.1655,0.095
13,0.5,0.285,0.4,0.165,0.825,0.254,0.205
12,0.5,0.23,0.4,0.145,0.63,0.234,0.1465
13,0.53,0.275,0.435,0.17,0.8155,0.2985,0.155
8,0.42,0.12,0.335,0.115,0.369,0.171,0.071
9,0.44,0.16,0.34,0.14,0.482,0.186,0.1085
9,0.4,0.12,0.3,0.11,0.315,0.109,0.067
8,0.435,0.12,0.34,0.11,0.3795,0.1495,0.085
13,0.525,0.31,0.415,0.17,0.8325,0.2755,0.1685
7,0.37,0.08,0.28,0.095,0.2655,0.122,0.052
10,0.49,0.22,0.365,0.145,0.6345,0.1995,0.1625
7,0.335,0.06,0.25,0.09,0.181,0.0755,0.0415
12,0.415,0.12,0.325,0.105,0.38,0.1595,0.0785
9,0.5,0.205,0.405,0.14,0.6155,0.241,0.1355
14,0.485,0.235,0.395,0.16,0.66,0.2475,0.128
10,0.55,0.255,0.405,0.14,0.8025,0.244,0.1635
8,0.45,0.135,0.35,0.13,0.46,0.174,0.111
7,0.405,0.11,0.3,0.12,0.324,0.1265,0.07
10,0.47,0.165,0.36,0.135,0.501,0.1665,0.115
8,0.415,0.105,0.305,0.13,0.32,0.1305,0.0755
9,0.445,0.14,0.325,0.125,0.455,0.1785,0.1125
11,0.47,0.18,0.35,0.145,0.5175,0.187,0.1235
9,0.49,0.19,0.375,0.15,0.5755,0.22,0.144
11,0.445,0.155,0.355,0.15,0.485,0.181,0.125
10,0.425,0.1,0.38,0.105,0.3265,0.1285,0.0785
9,0.5,0.155,0.37,0.135,0.45,0.1715,0.1055
7,0.39,0.09,0.29,0.125,0.3055,0.121,0.082
7,0.365,0.07,0.27,0.085,0.205,0.078,0.0485
11,0.58,0.35,0.465,0.165,1.1015,0.404,0.2095
15,0.53,0.245,0.415,0.16,0.783,0.2935,0.158
13,0.555,0.275,0.445,0.135,0.836,0.336,0.1625
14,0.565,0.325,0.44,0.175,0.9025,0.31,0.193
22,0.625,0.435,0.505,0.215,1.4455,0.496,0.287
7,0.275,0.035,0.215,0.075,0.1155,0.0485,0.029
12,0.44,0.125,0.35,0.135,0.435,0.1815,0.083
9,0.295,0.04,0.225,0.08,0.124,0.0485,0.032
1,0.075,0.0015,0.055,0.01,0.002,0.001,0.0005
3,0.13,0.004,0.1,0.03,0.013,0.0045,0.003
3,0.11,0.003,0.09,0.03,0.008,0.0025,0.002
5,0.16,0.005,0.12,0.035,0.021,0.0075,0.0045
17,0.565,0.275,0.425,0.16,0.9425,0.3495,0.2185
5,0.27,0.035,0.2,0.07,0.1,0.034,0.0245
5,0.23,0.02,0.175,0.065,0.0645,0.026,0.0105
8,0.3,0.04,0.23,0.08,0.1275,0.0435,0.0265
8,0.33,0.06,0.255,0.085,0.1655,0.063,0.039
10,0.35,0.06,0.26,0.085,0.174,0.0705,0.0345
13,0.32,0.05,0.245,0.08,0.1585,0.0635,0.0325
9,0.36,0.07,0.275,0.085,0.1975,0.0745,0.0415
7,0.305,0.045,0.245,0.075,0.156,0.0675,0.038
7,0.345,0.07,0.27,0.11,0.2135,0.082,0.0545
7,0.33,0.06,0.25,0.105,0.1715,0.0655,0.035
13,0.59,0.36,0.47,0.18,1.1235,0.4205,0.2805
12,0.595,0.3,0.455,0.155,1.0605,0.5135,0.2165
15,0.575,0.345,0.46,0.185,1.094,0.4485,0.217
15,0.6,0.34,0.495,0.165,1.2415,0.485,0.2775
15,0.56,0.37,0.45,0.175,1.011,0.3835,0.2065
19,0.56,0.41,0.45,0.185,1.07,0.3805,0.175
10,0.545,0.345,0.46,0.16,0.8975,0.341,0.1655
15,0.635,0.365,0.505,0.17,1.415,0.605,0.297
13,0.59,0.295,0.475,0.16,1.1015,0.4775,0.2555
11,0.54,0.26,0.475,0.155,0.928,0.394,0.194
12,0.57,0.27,0.44,0.125,0.865,0.3675,0.1725
11,0.53,0.245,0.42,0.165,0.8945,0.319,0.239
4,0.245,0.026,0.195,0.06,0.095,0.0445,0.0245
6,0.27,0.04,0.2,0.08,0.1205,0.0465,0.028
11,0.46,0.16,0.38,0.13,0.639,0.3,0.1525
14,0.52,0.235,0.45,0.15,0.895,0.3615,0.186
8,0.35,0.0905,0.275,0.11,0.2925,0.1225,0.0635
9,0.47,0.255,0.39,0.15,0.6355,0.2185,0.0885
13,0.45,0.17,0.36,0.125,0.4995,0.2035,0.1
22,0.64,0.55,0.525,0.215,1.779,0.4535,0.2855
16,0.59,0.37,0.5,0.2,1.187,0.412,0.2705
14,0.62,0.385,0.485,0.205,1.219,0.3875,0.2505
15,0.63,0.45,0.505,0.225,1.525,0.56,0.3335
13,0.63,0.41,0.515,0.155,1.259,0.4105,0.197
22,0.655,0.585,0.54,0.215,1.844,0.7425,0.327
12,0.66,0.49,0.53,0.185,1.3485,0.493,0.245
18,0.61,0.69,0.5,0.24,1.642,0.532,0.3345
20,0.635,0.43,0.525,0.205,1.484,0.55,0.3115
11,0.515,0.25,0.425,0.135,0.712,0.2665,0.1605
15,0.535,0.3,0.415,0.185,0.8415,0.314,0.1585
7,0.36,0.075,0.285,0.105,0.2415,0.0915,0.057
9,0.455,0.15,0.355,0.12,0.4495,0.177,0.104
14,0.485,0.225,0.395,0.14,0.6295,0.2285,0.127
14,0.515,0.31,0.38,0.175,0.9565,0.325,0.158
10,0.535,0.285,0.415,0.17,0.879,0.295,0.1965
10,0.53,0.205,0.435,0.155,0.699,0.288,0.1595
17,0.495,0.205,0.4,0.155,0.6445,0.242,0.1325
9,0.44,0.19,0.355,0.125,0.4775,0.132,0.0815
10,0.535,0.24,0.435,0.16,0.8105,0.3155,0.1795
17,0.54,0.325,0.435,0.18,0.996,0.3835,0.226
12,0.565,0.355,0.505,0.21,1.2765,0.501,0.279
15,0.61,0.315,0.475,0.165,1.116,0.428,0.2205
19,0.565,0.35,0.455,0.175,1.013,0.342,0.207
26,0.6,0.375,0.495,0.195,1.0575,0.384,0.19
6,0.295,0.04,0.215,0.085,0.128,0.049,0.034
6,0.275,0.035,0.205,0.075,0.1105,0.045,0.0285
4,0.28,0.03,0.21,0.085,0.1065,0.039,0.0295
11,0.49,0.15,0.395,0.14,0.549,0.2215,0.1275
9,0.37,0.075,0.28,0.105,0.234,0.0905,0.0585
9,0.405,0.1,0.305,0.095,0.3485,0.1455,0.0895
13,0.54,0.335,0.435,0.175,0.892,0.322,0.174
8,0.37,0.074,0.28,0.1,0.252,0.1065,0.0595
6,0.36,0.0715,0.27,0.1,0.217,0.0885,0.0495
10,0.47,0.15,0.36,0.13,0.472,0.182,0.114
4,0.2,0.011,0.145,0.06,0.037,0.0125,0.0095
3,0.165,0.005,0.12,0.03,0.0215,0.007,0.005
13,0.645,0.535,0.515,0.24,1.5415,0.471,0.369
14,0.55,0.195,0.41,0.125,0.7605,0.2505,0.1635
10,0.57,0.275,0.435,0.145,0.9055,0.3925,0.2355
21,0.63,0.39,0.485,0.19,1.2435,0.4635,0.3055
14,0.56,0.265,0.44,0.14,0.971,0.443,0.2045
19,0.595,0.345,0.455,0.195,1.3305,0.4595,0.3235
23,0.62,0.435,0.47,0.2,1.2255,0.381,0.27
23,0.63,0.46,0.485,0.175,1.3,0.4335,0.2945
8,0.45,0.14,0.355,0.11,0.4585,0.194,0.067
14,0.635,0.39,0.535,0.19,1.242,0.576,0.2475
10,0.45,0.12,0.35,0.1,0.3675,0.1465,0.1015
18,0.58,0.32,0.455,0.155,0.8365,0.315,0.1385
6,0.33,0.06,0.255,0.095,0.172,0.066,0.0255
5,0.265,0.03,0.21,0.06,0.0965,0.0425,0.022
4,0.19,0.015,0.145,0.04,0.038,0.0165,0.0065
11,0.385,0.1,0.31,0.1,0.2845,0.1065,0.075
5,0.265,0.035,0.205,0.07,0.1055,0.039,0.041
7,0.335,0.075,0.265,0.105,0.222,0.0935,0.056
7,0.355,0.08,0.275,0.09,0.251,0.097,0.053
7,0.32,0.065,0.255,0.1,0.1755,0.073,0.0415
12,0.51,0.205,0.4,0.13,0.6435,0.27,0.1665
8,0.36,0.095,0.295,0.105,0.241,0.0865,0.053
8,0.36,0.09,0.28,0.09,0.2255,0.0885,0.04
12,0.5,0.2,0.38,0.155,0.5955,0.2135,0.161
8,0.4,0.095,0.325,0.12,0.3185,0.134,0.0565
5,0.3,0.035,0.22,0.08,0.121,0.0475,0.042
5,0.235,0.02,0.175,0.04,0.0705,0.0335,0.015
16,0.74,0.71,0.6,0.195,1.974,0.598,0.4085
11,0.62,0.355,0.465,0.19,1.3415,0.5705,0.3175
14,0.6,0.325,0.475,0.19,1.0875,0.403,0.2655
16,0.59,0.425,0.45,0.185,1.283,0.473,0.276
13,0.62,0.33,0.475,0.185,1.325,0.6045,0.325
15,0.565,0.285,0.45,0.195,1.0035,0.406,0.2505
14,0.575,0.3,0.455,0.145,1.165,0.581,0.2275
14,0.62,0.48,0.51,0.205,1.3475,0.4775,0.2565
12,0.62,0.32,0.465,0.185,1.274,0.579,0.3065
12,0.505,0.17,0.375,0.18,0.568,0.2325,0.1495
8,0.46,0.24,0.425,0.155,0.746,0.3005,0.152
13,0.49,0.18,0.39,0.14,0.707,0.2795,0.2185
9,0.525,0.275,0.42,0.16,0.756,0.2745,0.173
6,0.34,0.055,0.26,0.08,0.2,0.08,0.0555
8,0.375,0.09,0.305,0.115,0.2715,0.092,0.074
14,0.61,0.28,0.48,0.15,1.2,0.56,0.2455
8,0.61,0.245,0.495,0.185,1.153,0.536,0.2905
22,0.585,0.27,0.45,0.17,0.8685,0.3325,0.1635
12,0.57,0.245,0.46,0.14,0.9535,0.4465,0.2065
9,0.58,0.22,0.455,0.17,0.93,0.408,0.259
16,0.635,0.34,0.515,0.17,1.275,0.509,0.286
20,0.7,0.58,0.58,0.205,2.13,0.7415,0.49
13,0.675,0.395,0.525,0.185,1.587,0.6935,0.336
18,0.645,0.395,0.525,0.19,1.8085,0.7035,0.3885
17,0.745,0.7,0.585,0.215,2.499,0.9265,0.472
16,0.685,0.485,0.545,0.18,1.768,0.7495,0.392
18,0.605,0.35,0.49,0.18,1.227,0.48,0.287
12,0.59,0.34,0.465,0.15,0.997,0.392,0.246
20,0.65,0.445,0.525,0.175,1.4225,0.61,0.2995
16,0.6,0.295,0.48,0.15,1.029,0.4085,0.2705
12,0.62,0.35,0.5,0.175,1.186,0.4985,0.3015
19,0.63,0.355,0.515,0.16,1.016,0.4215,0.244
11,0.58,0.265,0.465,0.145,0.887,0.4405,0.1655
10,0.58,0.265,0.455,0.12,1.0735,0.479,0.2735
12,0.63,0.315,0.49,0.18,1.13,0.458,0.2765
17,0.69,0.47,0.56,0.215,1.719,0.68,0.299
16,0.65,0.415,0.545,0.165,1.566,0.6645,0.3455
16,0.66,0.5,0.565,0.195,1.7605,0.692,0.3265
19,0.68,0.6,0.58,0.2,1.787,0.585,0.453
14,0.7,0.42,0.575,0.17,1.31,0.5095,0.314
13,0.685,0.4,0.52,0.15,1.343,0.4635,0.292
20,0.675,0.605,0.545,0.195,1.7345,0.6845,0.3695
11,0.63,0.285,0.49,0.19,1.1775,0.4935,0.3365
10,0.585,0.25,0.45,0.16,1.077,0.4995,0.2875
15,0.565,0.37,0.465,0.175,0.995,0.3895,0.183
12,0.61,0.33,0.495,0.185,1.1085,0.3705,0.3135
15,0.605,0.385,0.47,0.18,1.1405,0.3755,0.2805
10,0.535,0.25,0.42,0.145,0.791,0.33,0.189
10,0.485,0.2,0.4,0.135,0.663,0.313,0.137
12,0.47,0.195,0.375,0.12,0.5565,0.226,0.122
10,0.545,0.235,0.425,0.135,0.8445,0.373,0.21
9,0.455,0.135,0.37,0.105,0.4925,0.216,0.1245
12,0.54,0.215,0.42,0.155,0.7385,0.3515,0.152
10,0.46,0.145,0.38,0.135,0.482,0.207,0.1225
14,0.49,0.22,0.42,0.125,0.609,0.239,0.1435
9,0.465,0.14,0.375,0.12,0.471,0.222,0.119
10,0.415,0.105,0.325,0.1,0.3215,0.1535,0.0595
10,0.475,0.18,0.375,0.125,0.593,0.277,0.115
10,0.47,0.18,0.375,0.125,0.5615,0.252,0.137
9,0.365,0.08,0.295,0.095,0.25,0.1075,0.0545
6,0.345,0.07,0.275,0.095,0.1995,0.0755,0.0535
11,0.39,0.115,0.31,0.1,0.302,0.116,0.064
10,0.5,0.24,0.395,0.14,0.7155,0.3165,0.176
8,0.47,0.185,0.38,0.145,0.5865,0.2385,0.144
12,0.535,0.26,0.44,0.15,0.6765,0.256,0.139
11,0.585,0.31,0.455,0.15,0.987,0.4355,0.2075
9,0.485,0.175,0.365,0.12,0.5885,0.27,0.131
9,0.515,0.235,0.455,0.135,0.7225,0.295,0.1625
7,0.435,0.155,0.325,0.11,0.4335,0.178,0.0985
10,0.515,0.2,0.415,0.14,0.6935,0.3115,0.152
7,0.44,0.11,0.345,0.12,0.365,0.1655,0.083
12,0.525,0.24,0.44,0.15,0.8425,0.3685,0.1985
8,0.45,0.15,0.355,0.115,0.479,0.2125,0.1045
16,0.59,0.29,0.485,0.12,0.911,0.39,0.182
11,0.555,0.285,0.45,0.145,0.915,0.4,0.246
8,0.57,0.235,0.44,0.095,0.827,0.3395,0.2215
15,0.59,0.34,0.5,0.165,1.1045,0.4565,0.2425
14,0.585,0.28,0.475,0.12,0.945,0.41,0.2115
11,0.58,0.28,0.46,0.12,0.9935,0.4625,0.2385
12,0.545,0.24,0.44,0.12,0.8565,0.3475,0.1715
14,0.605,0.39,0.495,0.17,1.2385,0.528,0.2465
15,0.62,0.36,0.47,0.14,1.0325,0.3605,0.224
20,0.63,0.4,0.5,0.17,1.3135,0.5595,0.267
20,0.63,0.45,0.515,0.165,1.352,0.488,0.349
16,0.63,0.36,0.5,0.155,1.005,0.367,0.199
13,0.545,0.235,0.41,0.14,0.625,0.223,0.16
14,0.67,0.505,0.54,0.165,1.5015,0.518,0.358
11,0.49,0.155,0.38,0.12,0.529,0.2165,0.139
13,0.49,0.2,0.39,0.135,0.5785,0.2465,0.123
8,0.29,0.035,0.225,0.07,0.101,0.036,0.0235
6,0.26,0.03,0.2,0.07,0.092,0.037,0.02
13,0.58,0.32,0.45,0.175,1.068,0.425,0.203
18,0.61,0.33,0.485,0.165,1.0915,0.3935,0.2435
19,0.6,0.33,0.5,0.16,1.015,0.3995,0.1735
21,0.56,0.375,0.455,0.125,0.943,0.344,0.129
18,0.575,0.385,0.45,0.17,1.0475,0.3775,0.1705
18,0.57,0.295,0.45,0.175,0.9555,0.38,0.1665
20,0.6,0.325,0.47,0.155,1.036,0.4375,0.196
18,0.565,0.32,0.455,0.17,0.9065,0.342,0.156
22,0.545,0.255,0.42,0.14,0.7505,0.2475,0.13
13,0.44,0.12,0.345,0.1,0.366,0.122,0.0905
11,0.5,0.22,0.41,0.15,0.662,0.2815,0.137
7,0.36,0.09,0.275,0.095,0.217,0.084,0.0435
14,0.385,0.09,0.305,0.095,0.252,0.0915,0.055
9,0.39,0.085,0.3,0.09,0.3055,0.143,0.0645
13,0.5,0.25,0.415,0.165,0.6885,0.249,0.138
10,0.36,0.085,0.275,0.11,0.2335,0.095,0.0525
8,0.335,0.07,0.26,0.1,0.192,0.0785,0.0585
