altitude,temperature,precipitation,longitude,sunshine
138.0,9.1,584.6,12.43,1465.8
141.0,8.8,512.0,12.23,1502.4
284.0,8.9,843.3,7.67,1375.8
185.0,9.3,682.1,8.05,1428.1
98.0,8.6,563.0,14.12,1664.8
341.0,9.4,1090.0,8.78,1590.9
157.0,8.9,913.6,8.83,1445.8
92.0,9.3,796.4,8.38,1446.3
161.0,8.6,795.9,9.6,1448.2
419.0,7.8,907.9,6.8,1473.0
96.0,10.2,667.6,8.55,1673.2
186.0,8.9,755.9,8.75,1422.6
313.0,7.7,972.8,12.92,1555.2
405.0,8.0,897.2,12.5,1639.7
273.0,9.7,1006.1,7.63,1563.9
111.0,9.8,661.6,7.08,1370.0
125.0,10.1,554.2,8.17,1639.2
425.0,8.0,648.3,10.5,1336.4
314.0,8.8,644.2,11.05,1697.8
280.0,8.8,809.3,9.32,1459.9
276.0,9.1,841.3,9.52,1701.6
110.0,10.3,677.1,8.75,1634.0
150.0,8.6,570.4,13.08,1612.4
95.0,9.1,856.0,8.05,1433.4
409.0,8.0,936.6,13.47,1682.5
435.0,7.6,682.7,10.85,1365.3
246.0,9.1,780.4,8.73,1689.4
386.0,7.5,581.1,12.12,1424.4
123.0,8.8,437.8,11.13,1432.3
109.0,9.6,874.2,7.17,1459.4
366.0,8.2,641.8,12.1,1646.0
131.0,9.7,921.1,7.98,1536.2
287.0,10.0,1005.2,7.78,1716.0
116.0,9.8,883.3,8.33,1568.7
320.0,8.9,862.9,7.1,1660.8
193.0,10.4,820.7,7.02,1393.8
333.0,7.2,944.6,10.53,1449.0
135.0,9.2,798.3,8.75,1450.9
155.0,9.2,661.1,8.97,1592.3
155.0,8.6,867.6,9.15,1323.7
170.0,9.2,565.5,7.75,1493.3
265.0,8.2,954.0,9.12,1313.4
365.0,8.6,860.7,9.7,1645.6
186.0,8.5,858.7,10.18,1312.0
360.0,8.0,944.2,13.02,1575.0
365.0,7.4,742.7,9.92,1382.3
147.0,8.8,687.9,9.95,1306.0
350.0,8.3,783.5,12.55,1621.2
286.0,10.1,691.0,9.17,1691.7
311.0,9.5,663.6,9.2,1692.2
401.0,8.7,679.0,9.2,1684.7
396.0,8.4,1001.4,7.03,1626.6
144.0,9.9,754.1,6.63,1264.5
265.0,9.1,784.3,6.65,1572.6
291.0,8.2,766.1,11.07,1561.2
240.0,8.2,509.7,11.4,1600.8
223.0,10.1,686.6,7.63,1739.3
176.0,8.4,823.9,9.57,1262.0
380.0,8.1,784.8,8.35,1512.6
438.0,7.4,684.5,12.18,1574.4
146.0,9.6,623.6,6.78,1379.0
440.0,8.7,981.5,9.62,1666.0
219.0,9.6,757.7,9.28,1638.7
422.0,8.1,665.0,10.95,1679.5
140.0,9.1,713.3,9.53,1463.1
142.0,9.8,636.3,8.25,1485.5
105.0,8.7,563.4,12.63,1630.3
133.0,8.7,713.4,9.83,1422.1
291.0,9.4,1286.9,8.23,1422.0
268.0,9.1,602.2,9.95,1565.4
